	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
779	电针调控肥胖模型小鼠肠道菌群元基因组研究	李宛真	成都中医药大学	硕士	2012	10	630	原版阅读      CNKI AI阅读
780	电针对肥胖大鼠胰岛素抵抗的影响	陈家琳	广州中医药大学	硕士	2012	12	451	原版阅读      CNKI AI阅读
781	不同疗法对单纯性肥胖的疗效及生化指标的研究	王彦红	广州中医药大学	硕士	2012	11	780	原版阅读      CNKI AI阅读
782	不同针灸方法治疗单纯性肥胖的时效关系对比研究	林之晨	广州中医药大学	硕士	2012	9	1391	原版阅读      CNKI AI阅读
783	消渴脂平胶囊治疗肥胖2型糖尿病合并血脂异常（气阴两虚挟痰瘀证）的临床观察	盛立红	长春中医药大学	硕士	2012		264	原版阅读      CNKI AI阅读
784	加味连梅颗粒对肥胖2型糖尿病大鼠糖脂代谢及肝内炎症的影响	于晶	长春中医药大学	硕士	2012	2	220	原版阅读      CNKI AI阅读
785	加味连梅颗粒对实验性肥胖2型糖尿病大鼠糖脂代谢及心肌组织PAI-1表达的影响	李瑛	长春中医药大学	硕士	2012	4	194	原版阅读      CNKI AI阅读
786	参术麦冬饮治疗肥胖2型糖尿病气阴两虚夹湿证的临床研究	俞芳芳	南京中医药大学	硕士	2012	4	294	原版阅读      CNKI AI阅读
787	加味连梅汤治疗早期肥胖2型糖尿病的临床观察	孙昊	长春中医药大学	硕士	2011	3	234	原版阅读      CNKI AI阅读
788	瘦瘦茶对单纯性肥胖的疗效、作用机理及安全性研究	傅晨	西北农林科技大学	硕士	2011	1	265	原版阅读      CNKI AI阅读
789	纤体降脂Ⅰ号对大鼠去卵巢后肥胖的预防作用及其作用机制的实验研究	甘国兴	湖南中医药大学	硕士	2011		111	原版阅读      CNKI AI阅读
790	肥胖型2型糖尿病中医证候学特点研究	杨雪莲	北京中医药大学	硕士	2011	6	854	原版阅读      CNKI AI阅读
791	高血压与腹型肥胖的相关性中西医研究进展及临床观察	郑震霄	北京中医药大学	硕士	2011	21	1016	原版阅读      CNKI AI阅读
792	中医综合治疗在腹型肥胖临床研究中的应用探讨	段红蕾	北京中医药大学	硕士	2011	13	1496	原版阅读      CNKI AI阅读
793	苍附导痰汤加减治疗痰湿肥胖型多囊卵巢综合征的临床观察	郎希麟	北京中医药大学	硕士	2011	12	809	原版阅读      CNKI AI阅读
794	穴位埋线治疗痰湿质肥胖的临床研究	谢丰如	广州中医药大学	硕士	2011	8	737	原版阅读      CNKI AI阅读
795	磁疗低周波治疗单纯性肥胖的临床研究	刘怡青	广州中医药大学	硕士	2011	2	393	原版阅读      CNKI AI阅读
796	化浊导滞、活血化瘀法治疗肥胖型糖尿病性脂肪肝临床观察	刘竞芳	河北大学	硕士	2011	2	194	原版阅读      CNKI AI阅读
797	健脾运湿法对单纯性肥胖糖调节受损脾虚不运证患者血清胰高血糖素样肽-1、抵抗素、胰岛素水平的影响	于征	山东中医药大学	博士	2011	6	501	原版阅读      CNKI AI阅读
798	黄连解毒汤加味颗粒联合基础胰岛素、二甲双胍治疗初发肥胖型2型糖尿病的临床观察	王璞	山东中医药大学	硕士	2011	4	212	原版阅读      CNKI AI阅读
799	肥胖者饮食习惯的临床调研及分析	任海燕	山东中医药大学	硕士	2011	8	1625	原版阅读      CNKI AI阅读
800	加减防风通圣散配合耳穴贴压法治疗肥胖型多囊卵巢综合征的临床研究	左婧	南京中医药大学	硕士	2011	21	443	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
801	多穗柯和根皮苷干预肥胖大鼠瘦素抵抗的信号转导机制研究	周才杰	广州中医药大学	博士	2011	11	700	原版阅读      CNKI AI阅读
802	点穴推拿在改善肥胖2型糖尿病患者糖脂代谢和低度炎症中的作用及其机制研究	宋柏林	长春中医药大学	博士	2011	23	1261	原版阅读      CNKI AI阅读
803	电针结合拔罐治疗单纯性肥胖的临床研究	陈姵绮	广州中医药大学	博士	2011	9	1062	原版阅读      CNKI AI阅读
804	不同中药复方对肥胖大鼠和糖尿病大鼠糖脂代谢的影响	吴凤玲	广州中医药大学	硕士	2011	8	840	原版阅读      CNKI AI阅读
805	消渴脂平胶囊对实验性肥胖糖尿病大鼠脂肪组织MCP-1影响的研究	单国辉	长春中医药大学	硕士	2011	3	110	原版阅读      CNKI AI阅读
806	消渴脂平胶囊对抑制实验性肥胖糖尿病大鼠脂肪组织炎症因子PAI-1的实验研究	张文龙	长春中医药大学	硕士	2011	1	181	原版阅读      CNKI AI阅读
807	针刺内庭穴对胃肠实热型单纯性肥胖患者食欲调节作用的疗效观察	钱鑫	广州中医药大学	硕士	2011	5	489	原版阅读      CNKI AI阅读
808	固本畅枢法对肥胖2型糖尿病炎症标志物的影响	彭雪萍	广州中医药大学	硕士	2011	2	158	原版阅读      CNKI AI阅读
809	穴位埋线治疗单纯性肥胖的临床研究	张佳谕	广州中医药大学	硕士	2011	9	465	原版阅读      CNKI AI阅读
810	加拿大华人的肥胖特点	陈玉贤	广州中医药大学	硕士	2011	1	277	原版阅读      CNKI AI阅读
811	加拿大华裔引致肥胖的辨证思路分析	譚月卿	广州中医药大学	硕士	2011		231	原版阅读      CNKI AI阅读
812	针灸治疗单纯性肥胖的肠道菌群调节机理探讨	周莉萍	成都中医药大学	硕士	2011	18	1451	原版阅读      CNKI AI阅读
813	化浊导滞、活血化瘀法治疗肥胖型糖尿病眼底出血的临床研究	张敏	河北大学	硕士	2010	1	149	原版阅读      CNKI AI阅读
814	头体针配穴法治疗单纯性肥胖的临床研究	于婷婷	黑龙江中医药大学	硕士	2010	5	338	原版阅读      CNKI AI阅读
815	消膏降浊方对高脂饮食诱导的肥胖大鼠的蛋白质酪氨酸磷酸酶1B-胰岛素抵抗通路的影响研究	秦培洁	中国中医科学院	硕士	2010	2	316	原版阅读      CNKI AI阅读
816	整体经络针刺法治疗单纯性肥胖的临床疗效观察	任旭	湖南中医药大学	硕士	2010	3	330	原版阅读      CNKI AI阅读
817	健脾祛湿周期疗法治疗肥胖型多囊卵巢综合征的临床研究	贝桂珍	广州中医药大学	硕士	2010	1	424	原版阅读      CNKI AI阅读
818	体针结合耳压疗法改善肥胖患者食欲亢进的临床观察	洪庆喜	广州中医药大学	硕士	2010	3	440	原版阅读      CNKI AI阅读
819	电针配合埋线治疗中心性肥胖的临床疗效观察	陈锡溪	广州中医药大学	硕士	2010	7	432	原版阅读      CNKI AI阅读
820	归术调经汤治疗肥胖型月经过少的临床研究	许兰兰	山东中医药大学	硕士	2010	6	295	原版阅读      CNKI AI阅读
821	益气解毒汤对肥胖型2型糖尿病患者胰岛素抵抗的干预性临床研究	郭晓洁	山东中医药大学	硕士	2010		191	原版阅读      CNKI AI阅读
822	加减五积散治疗痰湿肥胖型多囊卵巢综合征的临床研究	张梅	南京中医药大学	硕士	2010	9	449	原版阅读      CNKI AI阅读
823	多囊卵巢综合征肥胖与非肥胖患者的临床观察及天癸胶囊疗效分析	郭素璇	复旦大学	硕士	2010	1	247	原版阅读      CNKI AI阅读
824	穴位埋线疗法治疗单纯性肥胖之有效性评估一个随机分派、单盲研究	郑昌贤	广州中医药大学	博士	2010	7	679	原版阅读      CNKI AI阅读
825	针刺治疗单纯性肥胖的临床及实验研究	邓雪梅	成都中医药大学	硕士	2010	10	514	原版阅读      CNKI AI阅读
826	苦酸通调法治疗早期肥胖的2型糖尿病的临床观察	康稚宜	长春中医药大学	硕士	2010	4	246	原版阅读      CNKI AI阅读
827	开郁清热方改善肥胖2型糖尿病糖、脂代谢紊乱及胰岛素抵抗的临床及动物实验研究	刘禹辛	长春中医药大学	硕士	2010	6	479	原版阅读      CNKI AI阅读
828	电针加脐疗治疗虚证肥胖的临床疗效观察	林素芬	广州中医药大学	硕士	2010	1	439	原版阅读      CNKI AI阅读
829	针刺结合大肠俞埋线治疗单纯性肥胖合并便秘的临床疗效观察	陈境烨	广州中医药大学	硕士	2010	5	598	原版阅读      CNKI AI阅读
830	《内经》肥胖三型的测量方法及与中医证候相关性的研究	段娟	中国中医科学院	博士	2009	35	2135	原版阅读      CNKI AI阅读
831	经络锻炼与健步走练习对科特迪瓦肥胖人群干预效果的研究	巴利	北京体育大学	硕士	2009	1	80	原版阅读      CNKI AI阅读
832	灵龟八法针法为主配合耳穴压豆治疗胃肠实热型肥胖疗效观察	黄茶熙	北京中医药大学	硕士	2009	5	669	原版阅读      CNKI AI阅读
833	单纯性肥胖针灸处方用穴规律研究	区淑娟	广州中医药大学	硕士	2009	11	1054	原版阅读      CNKI AI阅读
834	肝胆俞募配穴治疗中心性肥胖的临床疗效观察	赵晶	广州中医药大学	硕士	2009	15	532	原版阅读      CNKI AI阅读
835	全身性肥胖与中心性肥胖针灸疗效观察	陈燕圣	广州中医药大学	硕士	2009	7	744	原版阅读      CNKI AI阅读
836	单纯性肥胖水液代谢障碍的症状表现类型分析	林柏宏	广州中医药大学	硕士	2009	1	270	原版阅读      CNKI AI阅读
837	电针加温针灸治疗单纯性肥胖的临床研究	陈美君	广州中医药大学	博士	2009	12	1056	原版阅读      CNKI AI阅读
838	俞募配穴针刺治疗脾虚湿阻与肝郁气滞型单纯性肥胖的临床研究	骆纪谨	广州中医药大学	博士	2009	10	1231	原版阅读      CNKI AI阅读
839	温灸神阙治疗中心性肥胖疗效观察	苏秋荣	广州中医药大学	硕士	2009	10	531	原版阅读      CNKI AI阅读
840	防风通圣丸治疗脾胃实热型单纯性肥胖的临床研究	牛蔚露	成都中医药大学	硕士	2009	12	593	原版阅读      CNKI AI阅读
841	解毒通络调肝散对实验性肥胖性糖尿病大鼠模型的影响研究	李瑞恩	长春中医药大学	硕士	2009	2	213	原版阅读      CNKI AI阅读
842	电针配合拔罐治疗单纯性肥胖的临床研究	李艳双	长春中医药大学	硕士	2009	5	357	原版阅读      CNKI AI阅读
843	电针耳压与埋线耳压治疗单纯性肥胖临床的比较研究	卡莉娜	南京中医药大学	硕士	2009	1	352	原版阅读      CNKI AI阅读
844	围绝经期妇女的肥胖证型分析	张人尹	广州中医药大学	硕士	2009	9	501	原版阅读      CNKI AI阅读
845	中年男性中心性肥胖中医证型分析	刘彦辰	广州中医药大学	硕士	2009	8	726	原版阅读      CNKI AI阅读
846	脾胃三焦俞募埋线改善肥胖患者脾虚症状疗效观察	慕丹	广州中医药大学	硕士	2009	6	337	原版阅读      CNKI AI阅读
847	针灸调治体质治疗单纯性肥胖的临床研究	张燕	广州中医药大学	硕士	2009	7	541	原版阅读      CNKI AI阅读
848	中西医结合优化方案对超重/肥胖2型糖尿临床疗效的观察	顾庆奎	广州中医药大学	硕士	2009	1	201	原版阅读      CNKI AI阅读
849	糖耐康治疗肥胖型2型糖尿病的分子机制研究	贾淑明	北京中医药大学	博士	2008	4	973	原版阅读      CNKI AI阅读
850	开郁清热降浊方治疗肥胖2型糖尿病的临床观察	张燕妮	北京中医药大学	硕士	2008	1	390	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
851	化痰活血汤治疗肥胖型多囊卵巢综合征临床疗效观察	林敏	北京中医药大学	硕士	2008	12	1076	原版阅读      CNKI AI阅读
852	非肥胖型糖尿病中医证型分布与相关因素的临床研究	李建卿	中国中医科学院	硕士	2008	1	216	原版阅读      CNKI AI阅读
853	体重指数与高血压超重、肥胖患者中医证型的相关性研究	张柏达	福建中医学院	硕士	2008	20	638	原版阅读      CNKI AI阅读
854	从脾肾为本痰湿为标辨治肥胖相关性肾病的临床研究	张浩	黑龙江中医药大学	硕士	2008	2	434	原版阅读      CNKI AI阅读
855	穴位埋线配合健脾补肾化痰中药对肥胖型多囊卵巢综合征患者糖脂代谢的影响	辛俊	广州中医药大学	硕士	2008	9	725	原版阅读      CNKI AI阅读
856	穴位埋线配合健脾补肾化痰中药对肥胖型多囊卵巢综合征患者高雄激素血症的影响	刘桂英	广州中医药大学	硕士	2008	22	1461	原版阅读      CNKI AI阅读
857	不同电针频率对单纯性肥胖大鼠相关指标影响的实验研究	邹碧晴	北京中医药大学	硕士	2008	8	439	原版阅读      CNKI AI阅读
858	穴位埋线治疗更年期妇女肥胖的临床研究及其对血清生殖激素的影响	张梅	广州中医药大学	博士	2008	14	1477	原版阅读      CNKI AI阅读
859	李小娟教授治疗肥胖的2型糖尿病经验总结	景莎莎	辽宁中医药大学	硕士	2008	4	191	原版阅读      CNKI AI阅读
860	针灸治疗单纯性肥胖疗效观察	谢盈盈	辽宁中医药大学	硕士	2008		330	原版阅读      CNKI AI阅读
861	疏肝健脾法针灸治疗脾虚型肥胖的临床研究	赵岩	广州中医药大学	硕士	2008	2	538	原版阅读      CNKI AI阅读
862	肝经取穴为主治疗血瘀型单纯性肥胖的临床研究	刘婉师	广州中医药大学	硕士	2008	2	342	原版阅读      CNKI AI阅读
863	活血化痰法治疗肥胖性高血压患者瘦素抵抗的临床研究	何淑贞	广州中医药大学	硕士	2008	6	306	原版阅读      CNKI AI阅读
864	灵龟八法治疗单纯性肥胖的临床研究	李霞	广州中医药大学	硕士	2008	5	340	原版阅读      CNKI AI阅读
865	三子苗条方治疗单纯性肥胖证属于肝胃热盛痰阻型自身前后对照临床研究	廖洪超	北京中医药大学	硕士	2008	1	742	原版阅读      CNKI AI阅读
866	消膏转浊法逆转肥胖型非酒精性脂肪肝模型大鼠肝脏脂肪变性的实验研究	董柳	北京中医药大学	博士	2007	9	1421	原版阅读      CNKI AI阅读
867	针灸配合中药对肥胖型多囊卵巢综合征患者胰岛素抵抗及血清脂联素水平的影响	龙泳伶	广州中医药大学	硕士	2007	8	1218	原版阅读      CNKI AI阅读
868	糖肾胶囊对肥胖伴胰岛素抵抗大鼠模型的影响	张前进	北京中医药大学	硕士	2007	1	250	原版阅读      CNKI AI阅读
869	单纯性肥胖患者针刺治疗体脂肪含量等相关参数效应的临床观察	河炫旭	黑龙江中医药大学	硕士	2007	2	346	原版阅读      CNKI AI阅读
870	消脂汤治疗代谢综合征肥胖及相关指标的临床研究	冯大勇	成都中医药大学	硕士	2007	2	174	原版阅读      CNKI AI阅读
871	五苓散对痰湿体质型肥胖大鼠干预作用实验研究	冯占荣	长春中医药大学	硕士	2007	8	711	原版阅读      CNKI AI阅读
872	单纯性肥胖的中医辨证及病理基础研究	李培	广州中医药大学	硕士	2007	4	785	原版阅读      CNKI AI阅读
873	136例肥胖型2型糖尿病患者中医证型与胰岛β细胞功能关系的探讨	闵珊	福建中医学院	硕士	2006	2	280	原版阅读      CNKI AI阅读
874	“络通”对超重和肥胖者血管内皮功能障碍的防治作用研究	毕桂芝	北京中医药大学	硕士	2006	1	266	原版阅读      CNKI AI阅读
875	山花轻身散防治单纯性肥胖的实验研究	汪淼	黑龙江中医药大学	硕士	2006	4	297	原版阅读      CNKI AI阅读
876	楂曲平胃散抑制小鼠前脂肪细胞分化与防治肥胖机理的实验研究	陈瑾	成都中医药大学	博士	2006		571	原版阅读      CNKI AI阅读
877	熏脐灸加针刺改善脾虚型肥胖症状的临床研究	廖岩	广州中医药大学	硕士	2006	5	655	原版阅读      CNKI AI阅读
878	调三焦穴位埋线治疗中年人腹型肥胖的临床研究	邓丽娟	广州中医药大学	硕士	2006	6	729	原版阅读      CNKI AI阅读
