	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1206	小檗碱促进胰岛素分泌改善胰岛素抵抗的分子机制	王增四	华中科技大学	博士	2009	5	1090	原版阅读      CNKI AI阅读
1207	酶法辅助提取黄连生物碱的研究	宁娜	天津医科大学	硕士	2009	2	697	原版阅读      CNKI AI阅读
1208	四氢原小檗碱类化合物千金藤啶碱的合成研究	江珂	南京医科大学	硕士	2009	2	255	原版阅读      CNKI AI阅读
1209	小檗碱类化合物的合成及其生物活性的测定	赵立峰	贵州大学	硕士	2009	12	556	原版阅读      CNKI AI阅读
1210	左金方多生物碱体内网络代谢“虹势性”研究	李启泉	湖南中医药大学	硕士	2009		124	原版阅读      CNKI AI阅读
1211	鱼腥草挥发油及黄连生物碱的“网通性”研究	江欢英	湖南中医药大学	硕士	2009	1	162	原版阅读      CNKI AI阅读
1212	盐酸小檗碱树脂复合物胃粘附缓释微囊的制备与评价	陈飞	沈阳药科大学	硕士	2009	3	411	原版阅读      CNKI AI阅读
1213	小檗碱对Epstein-Barr病毒DNA复制的抑制作用	孟菁菁	中南大学	硕士	2009	3	103	原版阅读      CNKI AI阅读
1214	盐酸小檗碱改性几种粘土的制备及其抗菌性能研究	李红坤	西北师范大学	硕士	2009	5	402	原版阅读      CNKI AI阅读
1215	三黄片、一清胶囊、一清颗粒的质量控制研究	刘丹	广东药学院	硕士	2009	1	857	原版阅读      CNKI AI阅读
1216	盐酸13-己基小檗碱和盐酸13-己基巴马汀对NF-κB和p38MAPK信号通路的影响	姜辉	中国协和医科大学	硕士	2009	3	352	原版阅读      CNKI AI阅读
1217	盐酸小檗碱体内分布研究	梁瑞	北京中医药大学	硕士	2009	5	892	原版阅读      CNKI AI阅读
1218	时滞与pH敏感结合型结肠靶向制剂——复方盐酸小檗碱结肠定位薄膜包衣片的研究	马劲	北京中医药大学	硕士	2009	10	946	原版阅读      CNKI AI阅读
1219	黄连黄柏指纹图谱及成分研究	霍达	首都师范大学	硕士	2009	18	1893	原版阅读      CNKI AI阅读
1220	中药黄连结肠靶向制剂的工艺及其质量标准研究	高月娟	黑龙江中医药大学	硕士	2009	2	472	原版阅读      CNKI AI阅读
1221	盐酸小檗碱、右旋柠檬烯对人胃癌细胞株MGC-803的体外联合作用评价	王玲	山东理工大学	硕士	2009	1	218	原版阅读      CNKI AI阅读
1222	三种中药化学成分抗糖尿病心肌病变的作用初探	肖俊华	北京中医药大学	硕士	2009	8	912	原版阅读      CNKI AI阅读
1223	酶触型复方盐酸小檗碱结肠定位骨架包衣片制备及其质量标准研究	肖尧	北京中医药大学	硕士	2009	2	475	原版阅读      CNKI AI阅读
1224	萸连巴布膏的药学研究与评价	杜茂波	中国中医科学院	硕士	2009	6	747	原版阅读      CNKI AI阅读
1225	脓毒症预后预测指标的筛选及小檗碱和育亨宾合剂对它们的影响	曾红科	暨南大学	博士	2009	1	387	原版阅读      CNKI AI阅读
1226	小檗碱及其同系物的药代动力学研究和安全性评价	吴宇娟	西南大学	硕士	2009	3	635	原版阅读      CNKI AI阅读
1227	萸黄连有效部位的制备及其质量控制方法的研究	黄艳萍	南方医科大学	硕士	2009	2	136	原版阅读      CNKI AI阅读
1228	酶催化-荧光法在药物分析中的应用及研究	张苗	山东师范大学	硕士	2009		286	原版阅读      CNKI AI阅读
1229	泻心汤半仿生提取法的研究	李磊	山东中医药大学	硕士	2009	3	236	原版阅读      CNKI AI阅读
1230	小檗碱联合厚朴酚对THP-1巨噬细胞源性泡沫细胞的干预	王术玲	广州中医药大学	博士	2009	4	782	原版阅读      CNKI AI阅读
1231	复方液化颗粒的药学研究	刘丹	华中科技大学	硕士	2009	1	199	原版阅读      CNKI AI阅读
1232	小檗碱及其结构修饰物的在体肠吸收特性及对小肠糖分吸收影响的研究	董苏	华中科技大学	硕士	2009	1	390	原版阅读      CNKI AI阅读
1233	葛根芩连汤配伍毒效及主要成份谱药动学变化的研究	王磊	南方医科大学	硕士	2009	8	914	原版阅读      CNKI AI阅读
1234	黄连与吴茱萸配伍抗肿瘤相互作用的初步研究	王晓娜	大连医科大学	硕士	2009	4	592	原版阅读      CNKI AI阅读
1235	妇科白凤片工艺及质量标准研究	郭卉艳	长春中医药大学	硕士	2009		378	原版阅读      CNKI AI阅读
1236	乳链菌肽与天然提取物质复配性能及应用的研究	吕晓楠	河北工业大学	硕士	2009	7	488	原版阅读      CNKI AI阅读
1237	小檗碱治疗腹泻的分子机制研究	张永国	第四军医大学	硕士	2009	15	836	原版阅读      CNKI AI阅读
1238	大黄素、小檗碱对HepG2细胞瘦素受体mRNA表达影响的实验研究	尹春梅	山西医科大学	硕士	2009	1	347	原版阅读      CNKI AI阅读
1239	大黄素和小檗碱对胰岛素抵抗HepG2细胞的实验研究	王慧莲	山西医科大学	硕士	2009	11	467	原版阅读      CNKI AI阅读
1240	甘黄燥湿洗液质量标准的建立及主要药效学研究	吴杨	安徽医科大学	硕士	2009	2	216	原版阅读      CNKI AI阅读
1241	二妙胶囊的制备工艺、质量标准及药代动力学研究	周凌	辽宁中医药大学	硕士	2009	6	809	原版阅读      CNKI AI阅读
1242	盐酸小檗碱囊泡的制备及体内外研究	王雪超	河北医科大学	硕士	2009	8	989	原版阅读      CNKI AI阅读
1243	盐酸小檗碱联合抗真菌药物对犬小孢子菌体外抗菌活性研究	杨晓亮	河北医科大学	硕士	2009	1	495	原版阅读      CNKI AI阅读
1244	小檗碱对糖尿病大鼠离体膀胱逼尿肌收缩功能的影响及其机制	卓勇杰	河北医科大学	硕士	2009	2	198	原版阅读      CNKI AI阅读
1245	小檗碱降血糖作用的分子机理研究	张豪	中国协和医科大学	博士	2008	8	799	原版阅读      CNKI AI阅读
1246	外伤如意凝胶的制备工艺、质量标准及初步稳定性研究	王瑞芳	山东中医药大学	硕士	2008		370	原版阅读      CNKI AI阅读
1247	新型低密度脂蛋白受体上调剂：异喹啉类衍生物的合成、构效关系及降脂作用	杨鹏	中国协和医科大学	博士	2008	5	508	原版阅读      CNKI AI阅读
1248	β2-肾上腺素受体亲和色谱在黄连活性成分筛选及其相互作用研究中的应用	刘洁	西北大学	硕士	2008	5	367	原版阅读      CNKI AI阅读
1249	4种中药材抑菌活性及壳聚糖微胶囊剂型制备研究	侯东耀	北京化工大学	硕士	2008		254	原版阅读      CNKI AI阅读
1250	小檗碱聚乳酸微球的制备工艺及特性研究	刘英杰	北京化工大学	硕士	2008	1	374	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1251	福氏志贺菌转录谱在抗菌药物作用机制研究中的应用	付华	中国疾病预防控制中心	博士	2008	1	223	原版阅读      CNKI AI阅读
1252	中药质量标准中中药配伍组合效应的影响——黄连解毒汤配伍组合效应研究	王岩	西南大学	硕士	2008	4	735	原版阅读      CNKI AI阅读
1253	盐酸小檗碱对肉仔鸡生长性能、胴体品质及脂质代谢的影响	李葱晓	河南农业大学	硕士	2008	14	352	原版阅读      CNKI AI阅读
1254	D-氨基葡萄糖衍生物对盐酸苯海拉明和盐酸小檗碱体外经皮促渗性能的研究	卞希慧	天津大学	硕士	2008	2	255	原版阅读      CNKI AI阅读
1255	小檗碱衍生物的制备及其神经营养活性研究	刘卫涛	西北农林科技大学	硕士	2008	8	632	原版阅读      CNKI AI阅读
1256	癸酸钠对盐酸小檗碱肠道吸收的影响	吕晓艳	吉林大学	硕士	2008	2	635	原版阅读      CNKI AI阅读
1257	黄连（Rhizaoma Coptidis）的指纹图谱研究	韩晶	西南大学	硕士	2008	12	1594	原版阅读      CNKI AI阅读
1258	小檗碱对初发2型糖尿病糖脂代谢和脂联素的影响	任毅	山西医科大学	硕士	2008	5	352	原版阅读      CNKI AI阅读
1259	黄连活性成分的光谱性质及中药中小檗碱的环糊精敏化荧光法测定	郑彦慧	河北师范大学	硕士	2008	7	671	原版阅读      CNKI AI阅读
1260	脂肪组织作为小檗碱糖尿病治疗靶组织分子机制的研究	刘栩晗	北京协和医学院	博士	2008	1	408	原版阅读      CNKI AI阅读
1261	小檗碱降糖调脂作用与PPARs/P-TEFb信号转导通路的关系	周吉银	第三军医大学	博士	2008	23	1727	原版阅读      CNKI AI阅读
1262	黄柏炮制原理研究	廉莲	辽宁中医药大学	博士	2008	17	1983	原版阅读      CNKI AI阅读
1263	无糖型泌感颗粒的制剂工艺和质量控制方法研究	徐国防	沈阳药科大学	硕士	2008		189	原版阅读      CNKI AI阅读
1264	小檗碱改善高糖高脂诱导的胰岛NIT-1细胞凋亡的分子机制	孙焕	华中科技大学	硕士	2008	1	205	原版阅读      CNKI AI阅读
1265	清金平喘颗粒制备工艺、质量标准及药效学初步研究	曲静	辽宁中医药大学	硕士	2008	2	478	原版阅读      CNKI AI阅读
1266	高效液相色谱—质谱法在中成药分析中的应用研究	许海棠	广西大学	硕士	2008	15	1418	原版阅读      CNKI AI阅读
1267	光学成像技术观察小檗碱对人高转移性肺癌PG细胞迁移能力的影响	王燕	北京中医药大学	硕士	2008	2	215	原版阅读      CNKI AI阅读
1268	小檗碱抗人高转移性肺癌细胞诱导的人脐静脉血管内皮细胞凋亡的作用研究	何萍	北京中医药大学	硕士	2008	1	206	原版阅读      CNKI AI阅读
1269	毛细管电泳在中药分析中的应用研究	龚红全	广东药学院	硕士	2008		391	原版阅读      CNKI AI阅读
1270	PPARα的激动可能与小檗碱的降脂作用有关	师凌云	重庆医科大学	硕士	2008	2	189	原版阅读      CNKI AI阅读
1271	小檗碱对高胆固醇血症的影响可能涉及肝脏Insig-2基因表达	常伟	重庆医科大学	硕士	2008		117	原版阅读      CNKI AI阅读
1272	连葛降糖片制备工艺及质量控制研究	李东辉	北京中医药大学	硕士	2008	1	444	原版阅读      CNKI AI阅读
1273	CIA大鼠炎症网络因子与易栓状态关系实验研究及中药干预	韩乔燕	扬州大学	硕士	2008		83	原版阅读      CNKI AI阅读
1274	中药分子方剂治疗脑卒中的初步研究	梁建贞	首都师范大学	硕士	2008	1	363	原版阅读      CNKI AI阅读
1275	盐酸小檗碱固体脂质纳米粒的制备	侯君	第三军医大学	硕士	2008	9	949	原版阅读      CNKI AI阅读
1276	基于DNA分子的荧光分析新方法研究	程冬梅	陕西师范大学	硕士	2008	4	548	原版阅读      CNKI AI阅读
1277	交泰丸活性组分自微乳化体系的研究	张倍恩	广州中医药大学	硕士	2008	3	387	原版阅读      CNKI AI阅读
1278	天然抗菌成分盐酸小檗碱微胶囊的制备及抗菌性研究	安健	苏州大学	硕士	2008	11	950	原版阅读      CNKI AI阅读
1279	黄连—吴茱萸药对主要成分的溶出变化和药动学研究	邓雅婷	沈阳药科大学	硕士	2008	5	1001	原版阅读      CNKI AI阅读
1280	双料喉风生物黏附口腔贴片的研制	刘娜	广东药学院	硕士	2008		406	原版阅读      CNKI AI阅读
1281	盐酸小檗碱磷脂复合物的研制	左巨波	重庆医科大学	硕士	2008	7	920	原版阅读      CNKI AI阅读
1282	8-烷基小檗碱同系物的合成与药理活性	杨勇	西南大学	博士	2008	32	603	原版阅读      CNKI AI阅读
1283	复方黄连胶囊对早期糖尿病肾病大鼠肾病变的防治作用研究	魏瑜	安徽医科大学	硕士	2008	3	240	原版阅读      CNKI AI阅读
1284	中药六类新药黄柏治糜栓的研究	秦明明	吉林大学	硕士	2008		332	原版阅读      CNKI AI阅读
1285	白头翁汤方药半仿生提取法的实验研究	仲晓宁	山东中医药大学	硕士	2008		241	原版阅读      CNKI AI阅读
1286	几种中药有效成分对脂肪细胞胰岛素增敏作用的研究	何燕铭	复旦大学	博士	2008	6	1395	原版阅读      CNKI AI阅读
1287	紫香益母胶囊药学研究	胡晓娜	贵州师范大学	硕士	2008	2	270	原版阅读      CNKI AI阅读
1288	兴奋与抑制成分组合应用对平滑肌功能的双向调节研究	徐志立	大连医科大学	博士	2008		289	原版阅读      CNKI AI阅读
1289	黄连解毒汤化学成分分析及其抗高脂血症作用的研究	金瑾	吉林大学	博士	2008	22	1735	原版阅读      CNKI AI阅读
1290	含小檗碱类中药品质生物评价与控制的初步研究	方艺霖	成都中医药大学	硕士	2008	12	785	原版阅读      CNKI AI阅读
1291	小檗碱对兔动脉粥样硬化干预作用的实验研究	朱凌波	苏州大学	硕士	2008	5	310	原版阅读      CNKI AI阅读
1292	小檗碱对初发2型糖尿病患者糖脂代谢及瘦素的影响	王蔚	山西医科大学	硕士	2008	2	217	原版阅读      CNKI AI阅读
1293	小儿消咳片质量标准与稳定性的研究	王玉杰	吉林大学	硕士	2008		266	原版阅读      CNKI AI阅读
1294	几种药物小分子与Tau蛋白多肽的相互作用研究	乔夫龙	同济大学	硕士	2008		367	原版阅读      CNKI AI阅读
1295	中药影响表皮葡萄球菌形成生物被膜关键基因的机制研究	何敏	重庆医科大学	硕士	2008	6	441	原版阅读      CNKI AI阅读
1296	中药复方葛根芩连汤中有效成分的分离及其药代动力学研究	郭菲	上海交通大学	硕士	2008	1	1507	原版阅读      CNKI AI阅读
1297	思的明胶囊的药学研究及其对吗啡依赖大鼠体内吗啡代谢的影响	黄建春	广西医科大学	硕士	2008		140	原版阅读      CNKI AI阅读
1298	2型糖尿病中国地鼠模型脂诱性肝脏胰岛素抵抗形成机制和小檗碱治疗机制的研究	李国生	中国协和医科大学	博士	2007	2	605	原版阅读      CNKI AI阅读
1299	川产道地药材黄柏HPLC指纹图谱质量标准研究	杜雪	西南交通大学	硕士	2007	2	650	原版阅读      CNKI AI阅读
1300	双黄分散片制备工艺及质量标准研究	高媛	武汉理工大学	硕士	2007	2	380	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
1301	几种天然中药材的光谱分析	金向军	吉林大学	博士	2007	1	1239	原版阅读      CNKI AI阅读
1302	盐酸小檗碱对小鼠金黄色葡萄球菌乳腺炎的疗效及机制研究	叶宝娜	河北农业大学	硕士	2007	9	478	原版阅读      CNKI AI阅读
1303	hPPARs系列载体构建及其高效转染表达体系的建立	章涛	重庆医科大学	博士	2007		228	原版阅读      CNKI AI阅读
1304	高维化学计量学方法的若干基础性研究以及在药物分析中的应用	夏阿林	湖南大学	博士	2007	8	656	原版阅读      CNKI AI阅读
1305	含小檗碱的中药与甘草煎煮过程中的化学变化——小檗碱与甘草酸的沉淀反应机理研究	邓江	湖南中医药大学	硕士	2007	15	883	原版阅读      CNKI AI阅读
1306	知柏地黄丸（浓缩丸）的制备工艺和质量标准研究	刘毅	天津大学	硕士	2007	7	1017	原版阅读      CNKI AI阅读
1307	黄柏采收与加工方法的优化研究	刘钊圻	四川农业大学	硕士	2007	7	720	原版阅读      CNKI AI阅读
1308	小檗碱促进獭兔生长代谢、盲肠微生物活力及免疫性能的研究	荣娜	扬州大学	硕士	2007	8	251	原版阅读      CNKI AI阅读
1309	重庆市野生黄连（Coptis chinensis Franch.）形态分化和药效成分与环境因子的关联性研究	龚传秀	西南大学	硕士	2007	5	285	原版阅读      CNKI AI阅读
1310	复方痛风安无糖颗粒剂制备工艺及质量控制研究	罗焜	湖北中医学院	硕士	2007	3	840	原版阅读      CNKI AI阅读
1311	中药小檗碱、薯蓣皂甙对滋养细胞糖代谢及胎盘激素分泌的影响	马毅	黑龙江中医药大学	博士	2007		352	原版阅读      CNKI AI阅读
1312	安宫牛黄丸生产过程质量评价方法研究	马群	北京中医药大学	博士	2007	6	1106	原版阅读      CNKI AI阅读
1313	盐酸小檗碱肠溶微囊的制备及体外评价	汪丽芬	华中科技大学	硕士	2007	4	1062	原版阅读      CNKI AI阅读
1314	小檗碱改善胰岛素抵抗大鼠糖代谢紊乱的分子机制	欧阳礼枝	华中科技大学	硕士	2007	4	383	原版阅读      CNKI AI阅读
